image_name,class,texture_glcm_feat_0,texture_glcm_feat_1,texture_glcm_feat_2,texture_glcm_feat_3,texture_glcm_feat_4
image_0000,OM5,8223.405081200788,67.48443651574804,0.08962592600475783,0.00985990175899558,0.14787461246077954
image_0001,OM5,8152.562376968504,66.85531496062991,0.0680176952555088,0.008232200038375445,0.1727709831776572
image_0002,OM5,7859.82689468504,64.6382874015748,0.08102274511197537,0.010337300025877762,0.09704182875084126
image_0003,OM5,8959.896222933072,72.98025344488188,0.04520054025939825,0.008186218425761782,0.09574840451467448
image_0004,OM5,8673.674335629921,70.43454724409449,0.059140368736797004,0.0091785330409552,0.06245757037444472
image_0005,OM5,8294.900775098424,67.19949557086613,0.08109615432454423,0.0095788928584252,0.13401573952162668
image_0006,OM5,8264.232529527562,68.01193405511813,0.08303542726887009,0.012011491302809643,0.08296691427457122
image_0007,OM5,7899.227177657482,65.35783710629923,0.0884717741427106,0.009888453195427962,0.10169940539407435
image_0008,OM5,7247.018885334646,62.042384350393704,0.07711170793379411,0.00912654072960034,0.11937734848316663
image_0009,OM5,9593.043860728349,77.50449064960631,0.04520475218161061,0.008372245848072285,0.052577135048997206
image_0010,OM5,8416.377645177166,68.93485482283467,0.04689174960874178,0.0075302160616845274,0.08509776884858772
image_0011,OM5,7393.514763779529,62.70755413385828,0.08601195716836625,0.012171959881151884,0.11140092669782914
image_0012,OM5,8169.063299704723,67.25178395669292,0.0955532833259273,0.01011489884988729,0.13386285931008307
image_0013,OM5,8187.201833169294,67.13908710629923,0.10142197984045037,0.022014904010893902,0.14537025778283996
image_0014,OM5,8555.675258366144,69.59454970472441,0.05351141412514095,0.007764398700049917,0.08372746168606952
image_0015,OM5,7247.018885334646,62.042384350393704,0.07711170793379411,0.00912654072960034,0.11937734848316663
image_0016,OM5,7289.253813976378,62.66744586614173,0.07549599408506752,0.008835169195560402,0.1191575201246047
image_0017,OM5,9453.355868602364,76.48369832677167,0.029418921668877985,0.0073866300806813565,0.044460016836071474
image_0018,OM5,8154.7127214566935,67.62906003937007,0.0846334391985822,0.009956338546938868,0.08878647229794902
image_0019,OM5,8187.794414370079,68.34362696850394,0.04546059806429955,0.007463713592691555,0.10117958048592884
image_0020,OM5,8064.916769192914,66.76445620078741,0.07189821937374868,0.009733008356614855,0.09743992350228935
image_0021,OM5,7550.704785925198,63.434485728346466,0.07530912516199363,0.009103083682419934,0.1322450837663324
image_0022,OM5,6356.101008858267,53.715059055118104,0.18080181364091727,0.01982478005446393,0.18781476137187236
image_0023,OM5,7661.853777066932,64.63699557086616,0.08104997311341905,0.009533353309530607,0.09438652174525482
image_0024,OM5,8601.152989665356,70.12592273622049,0.0445839894983136,0.007444676389846513,0.08460682920741523
image_0025,OM5,7104.464874507872,58.44482037401572,0.14877176375350068,0.017761227497317487,0.1320086184878468
image_0026,OM5,8158.808562992125,67.35014763779527,0.08811476149442803,0.012690894129149257,0.09727426521595117
image_0027,OM5,7322.613927165356,61.229453740157496,0.10666154975102818,0.015346114087561922,0.2152213201037701
image_0028,OM5,10468.702878937007,82.70767716535434,0.024270048301945443,0.006973835000378143,0.01234509408210913
image_0029,OM5,7247.018885334646,62.042384350393704,0.07711170793379411,0.00912654072960034,0.11937734848316663
image_0030,OM5,9356.285986712599,75.80985482283465,0.06275667212679252,0.009439611078539047,0.05933292313639732
image_0031,OM5,8146.940760334648,67.21954970472443,0.090980463976376,0.009811617180456016,0.14430643516094646
image_0032,OM5,8398.196112204725,68.30942421259843,0.06081066151024832,0.007903875967751795,0.13782626305707096
image_0033,OM5,8264.232529527562,68.01193405511813,0.08303542726887009,0.012011491302809643,0.08296691427457122
image_0034,OM5,8213.590428149606,67.28211122047243,0.055507896859727804,0.007943514990108569,0.1262781542770341
image_0035,OM5,7979.720410925197,66.06133120078741,0.08017864759082531,0.008871394166310623,0.1361809879831529
image_0036,OM5,7247.018885334646,62.042384350393704,0.07711170793379411,0.00912654072960034,0.11937734848316663
image_0037,OM5,7267.26808562992,61.50861220472441,0.09768361188223401,0.010704800721283509,0.12076595958486755
image_0038,OM5,8701.30843996063,70.54761318897637,0.04597101818855023,0.007460290481326741,0.09664015487871422
image_0039,OM5,8462.567359744095,69.39659202755907,0.07246353771130508,0.009039047905702601,0.11809876846971813
image_0040,OM5,7659.956508366142,62.99784694881889,0.11849793118141846,0.011837506578304624,0.1446865175973639
image_0041,OM5,8459.788816437007,68.6587721456693,0.08440373012314963,0.009348167537004784,0.14984314291375891
image_0042,OM5,7273.395546259842,60.768208661417326,0.1172770624364994,0.017273004249837784,0.13748491688676104
