image_name,class,texture_lbp_feat_0,texture_lbp_feat_1,texture_lbp_feat_2,texture_lbp_feat_3,texture_lbp_feat_4,texture_lbp_feat_5,texture_lbp_feat_6,texture_lbp_feat_7,texture_lbp_feat_8,texture_lbp_feat_9
image_0000,OM5,0.0764770507765822,0.09643554686911404,0.07019042968321591,0.09649658202536031,0.14208984374132752,0.10864257811836898,0.07098388671441748,0.09014892577574775,0.09722900390031561,0.151306152334515
image_0001,OM5,0.08679199218220264,0.10076904296259954,0.07269287108931317,0.09576416015040502,0.12518310546110942,0.09619140624412895,0.07299804687054455,0.0974731445253007,0.09155273436941207,0.16058349608394876
image_0002,OM5,0.08807373046337441,0.09008789061950147,0.072875976558052,0.10009765624389053,0.12115478514885529,0.10711669921221212,0.07800292968273907,0.08886718749457598,0.09082031249445677,0.1629028320213072
image_0003,OM5,0.08306884765117988,0.0936279296817854,0.07922363280766458,0.10211181640001758,0.12750244139846786,0.10632324218101054,0.07440185546420887,0.09088134765070303,0.09045410155697912,0.15240478514694794
image_0004,OM5,0.07702636718279868,0.08789062499463558,0.07452392577670142,0.1112670898369588,0.14904785155340283,0.11480712889924273,0.07849121093270928,0.08239746093247086,0.08056640624508261,0.14398193358496203
image_0005,OM5,0.07427978515171632,0.0849609374948144,0.07342529296426847,0.11083984374323487,0.1529541015531644,0.11627197264915332,0.08056640624508261,0.08227539061997831,0.0806274414013289,0.14379882811622322
image_0006,OM5,0.0827636718699485,0.08746337890091166,0.06738281249588728,0.09960937499392032,0.13208007811693848,0.11267089843062311,0.07135009765189514,0.08917236327580735,0.10479736327485367,0.15270996092817932
image_0007,OM5,0.07757568358901515,0.1004028320251219,0.0692749023395218,0.09851074218148738,0.13476562499177455,0.10412597655614465,0.07342529296426847,0.09179687499439716,0.09405517577550933,0.15606689452172443
image_0008,OM5,0.0827636718699485,0.09173583983815088,0.06658935546468571,0.09997558593139798,0.14483642577240988,0.11547851561795175,0.06866455077705905,0.08770751952589675,0.08935546874454617,0.15289306639691813
image_0009,OM5,0.08691406249469519,0.08636474608847872,0.07269287108931317,0.1013793945250623,0.1336669921793416,0.10900878905584663,0.07354736327676102,0.08673095702595636,0.09167480468190461,0.15802001952160522
image_0010,OM5,0.08544921874478459,0.09130859374442696,0.07812499999523163,0.10650634764974937,0.12481689452363177,0.10589599608728661,0.07495117187042534,0.08911132811956107,0.08752441405715793,0.15631103514670952
image_0011,OM5,0.08642578124472498,0.08917236327580735,0.06530761718351394,0.09783935546277836,0.12811279296093062,0.10467529296236112,0.0738525390579924,0.0892944335882999,0.1025390624937415,0.16278076170881464
image_0012,OM5,0.07464599608919396,0.09704589843157678,0.06591796874597669,0.10052490233761445,0.142639160147544,0.1131591796805933,0.07342529296426847,0.09088134765070303,0.0963134765566215,0.14544677733487263
image_0013,OM5,0.08190917968250065,0.08508300780730695,0.06378173827735707,0.10223388671251013,0.12347412108621374,0.11016845702452585,0.0736083984330073,0.08355712890115008,0.1254272460860945,0.15075683592829853
image_0014,OM5,0.09063720702571794,0.10211181640001758,0.07257080077682063,0.09118652343193441,0.11914062499272823,0.09527587890043482,0.07006835937072337,0.09924316405644268,0.0928955078068301,0.16687011717731506
image_0015,OM5,0.0827636718699485,0.09173583983815088,0.06658935546468571,0.09997558593139798,0.14483642577240988,0.11547851561795175,0.06866455077705905,0.08770751952589675,0.08935546874454617,0.15289306639691813
image_0016,OM5,0.08386230468238146,0.08801269530712813,0.06335449218363315,0.10339355468118935,0.14691162108478323,0.11926269530522078,0.07159423827688023,0.08612060546349361,0.08654785155721753,0.15093994139703734
image_0017,OM5,0.08569335936976968,0.08984374999451637,0.07757568358901515,0.10437011718112975,0.1341552734293118,0.1088256835871078,0.07098388671441748,0.08428955077610538,0.08917236327580735,0.15509033202178404
image_0018,OM5,0.07635498046408966,0.09564208983791246,0.06762695312087237,0.10235595702500269,0.14129638671012595,0.11132812499320507,0.0757446289016269,0.09649658202536031,0.08721923827592656,0.14593505858484282
image_0019,OM5,0.09173583983815088,0.09179687499439716,0.08038330077634379,0.09570312499415874,0.11224365233689919,0.10217285155626386,0.0745849609329477,0.09497070311920344,0.09020996093199402,0.16619873045860603
image_0020,OM5,0.09698486327533051,0.08752441405715793,0.06921386718327552,0.0910034179631956,0.11370849608680979,0.1004028320251219,0.07049560546444729,0.0931396484318152,0.10162353515004739,0.1759033203017637
image_0021,OM5,0.08685302733844891,0.09875488280647247,0.07556152343288809,0.09655761718160659,0.1242675781174153,0.09741210936905444,0.07543945312039554,0.09936523436893523,0.09033203124448656,0.15545654295926167
image_0022,OM5,0.058654785152669996,0.09039306640073284,0.06518554687102139,0.11468505858675018,0.14276123046003655,0.1343994140542969,0.08343505858865753,0.08569335936976968,0.08715820311968028,0.13763427733534947
image_0023,OM5,0.0948486328067109,0.09710693358782306,0.06964111327699944,0.08575439452601596,0.1102905273370184,0.09765624999403953,0.07446289062045515,0.09442138671298697,0.09838867186899483,0.17742919920792058
image_0024,OM5,0.08526611327604577,0.08984374999451637,0.08148193358877674,0.10528564452482388,0.1252441406173557,0.10467529296236112,0.0781860351514779,0.09008789061950147,0.08532714843229204,0.15460205077181383
image_0025,OM5,0.06256103515243158,0.08868408202583715,0.07055664062069357,0.11120605468071251,0.1498413085846044,0.12408447264867649,0.08557128905727714,0.08660888671346381,0.0825195312449634,0.13836669921030476
image_0026,OM5,0.08093261718256026,0.08703613280718774,0.06726074218339473,0.10375976561866701,0.12811279296093062,0.11419677733677998,0.0723876953080818,0.08868408202583715,0.1066894531184882,0.15093994139703734
image_0027,OM5,0.08386230468238146,0.09039306640073284,0.06909179687078297,0.09149169921316579,0.12384033202369138,0.10961914061830938,0.07250976562057436,0.09179687499439716,0.11090087889948115,0.15649414061544836
image_0028,OM5,0.08331298827616497,0.09350585936929286,0.07653808593282849,0.10803222655590623,0.13714599608537928,0.10876464843086153,0.07397460937048495,0.08526611327604577,0.08197021483874693,0.1514892578032538
image_0029,OM5,0.0827636718699485,0.09173583983815088,0.06658935546468571,0.09997558593139798,0.14483642577240988,0.11547851561795175,0.06866455077705905,0.08770751952589675,0.08935546874454617,0.15289306639691813
image_0030,OM5,0.08221435546373203,0.08770751952589675,0.07171630858937278,0.10070800780635326,0.1343994140542969,0.10833740233713761,0.07427978515171632,0.08807373046337441,0.09497070311920344,0.1575927734278813
image_0031,OM5,0.07781982421400026,0.09259033202559873,0.07000732421447708,0.10260009764998779,0.13677978514790162,0.11169433593068272,0.06958007812075316,0.09204101561938226,0.09832763671274855,0.14855957030343264
image_0032,OM5,0.0999145507751517,0.09808349608776346,0.07055664062069357,0.08508300780730695,0.10162353515004739,0.09277343749433756,0.07177734374561906,0.09771728515028581,0.10144042968130856,0.18103027342645078
image_0033,OM5,0.0827636718699485,0.08746337890091166,0.06738281249588728,0.09960937499392032,0.13208007811693848,0.11267089843062311,0.07135009765189514,0.08917236327580735,0.10479736327485367,0.15270996092817932
image_0034,OM5,0.08386230468238146,0.09320068358806148,0.07586669921411947,0.10675048827473446,0.1271362304609902,0.1059570312435329,0.07440185546420887,0.09118652343193441,0.08660888671346381,0.15502929686553776
image_0035,OM5,0.09613037108788267,0.10015869140013679,0.06860351562081277,0.08319091796367242,0.10974121093080193,0.09094238280694932,0.06958007812075316,0.0953369140566811,0.1078491210871674,0.17846679686410724
image_0036,OM5,0.0827636718699485,0.09173583983815088,0.06658935546468571,0.09997558593139798,0.14483642577240988,0.11547851561795175,0.06866455077705905,0.08770751952589675,0.08935546874454617,0.15289306639691813
image_0037,OM5,0.07489013671417907,0.10003662108764425,0.06945800780826061,0.09753417968154698,0.14086914061640202,0.10839843749338388,0.07830810546397045,0.09509277343169599,0.0832519531199187,0.15216064452196285
image_0038,OM5,0.08514404296355321,0.09185791015064344,0.07946777343264967,0.10290527343121916,0.1257324218673259,0.10534667968107014,0.07733154296403005,0.08941650390079245,0.08557128905727714,0.15722656249040365
image_0039,OM5,0.07757568358901515,0.09503173827544972,0.06719970702714845,0.10626220702476427,0.14324951171000674,0.10803222655590623,0.06939697265201435,0.08862304686959088,0.0946044921817258,0.15002441405334324
